tag,value,agency,rule_id,rule_name,rule_type,example_id,dataset_name,reject,correct,reviewed
Treaty,"conventions with Great Britain (for Canada), Mexico, Japan, and the Soviet Union (Russia)","""DEPARTMENT OF THE INTERIOR """,""" [FR Doc. E7-11559 Filed 6-14-07; 8:45 am] ""","""Migratory Bird Permits; Religious or Spiritual Use of Feathers by Native Americans ""","""prorule""",a1eaaace-5ae4-4cc4-8288-0c3ae85c9b23,Fedreg Basic,,,f
Treaty,"U.S. commitment to four international conventions (with Canada, Japan, Mexico, and Russia) ","""DEPARTMENT OF THE INTERIOR""","""[FR Doc. 2018-06571 Filed 3-30-18; 8:45 am]""","""Endangered and Threatened Wildlife and Plants; Reclassifying the Hawaiian Goose From Endangered to Threatened With a 4(d) Rule""","""prorule""",28851c02-cc89-4873-b7e9-84bb57d8585a,Fedreg Basic,,,f
Treaty,Western and Central Pacific Fisheries Convention Implementation Act ,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2018-15341 Filed 7-17-18; 8:45 am]""","""International Fisheries; Western and Central Pacific Fisheries for Highly Migratory Species; Fishing Limits in Purse Seine and Longline Fisheries, Restrictions on the Use of Fish Aggregating Devices in Purse Seine Fisheries, and Transshipment Prohibitions""","""rule""",ba469072-e0d8-42c1-af01-6eb98dfb8963,Fedreg Basic,,,f
Treaty,"international treaties, conventions, or protocols","""DEPARTMENT OF JUSTICE""","""[FR Doc. 2017-26853 Filed 12-12-17; 8:45 am]""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",e56d101e-c0a1-407b-a766-ad86a32f924d,Fedreg Basic,,,f
Treaty,Single Convention on Narcotic Drugs,"""DEPARTMENT OF JUSTICE""","""[FR Doc. 2018-21121 Filed 9-27-18; 8:45 am]""","""Schedules of Controlled Substances: Placement in Schedule V of Certain FDA-Approved Drugs Containing Cannabidiol; Corresponding Change to Permit Requirements""","""rule""",ddf26be2-e3b4-4ded-bec5-d7709fc4e3f8,Fedreg Basic,,,f
Treaty,other international conventions designed to establish effective control over international and domestic traffic in controlled substances,"""DEPARTMENT OF JUSTICE""","""[FR Doc. 2018-21121 Filed 9-27-18; 8:45 am]""","""Schedules of Controlled Substances: Placement in Schedule V of Certain FDA-Approved Drugs Containing Cannabidiol; Corresponding Change to Permit Requirements""","""rule""",ddf26be2-e3b4-4ded-bec5-d7709fc4e3f8,Fedreg Basic,,,f
Foreing Policy,ecause it pertains to a foreign affairs function of the United States ,"""DEPARTMENT OF HOMELAND SECURITY ""","""[FR Doc. 07-5062 Filed 10-15-07; 8:45 am]""","""United States-Bahrain Free Trade Agreement ""","""rule""",66f451c3-43aa-40b2-a3cb-28e96e3d607d,Fedreg Basic,,,f
Agreement,"international agreement,","""DEPARTMENT OF HOMELAND SECURITY ""","""[FR Doc. 07-5062 Filed 10-15-07; 8:45 am]""","""United States-Bahrain Free Trade Agreement ""","""rule""",66f451c3-43aa-40b2-a3cb-28e96e3d607d,Fedreg Basic,,,f
Foreing Policy,oreign affairs function of the United States ,"""DEPARTMENT OF HOMELAND SECURITY ""","""[FR Doc. 07-2587 Filed 5-24-07; 8:45 am] ""","""Dominican Republic—Central America—United States Free Trade Agreement ""","""rule""",229604d5-01b2-46c2-9b59-f81c84693336,Fedreg Basic,,,f
Treaty,oreign affairs function of the United States ,"""DEPARTMENT OF HOMELAND SECURITY ""","""[FR Doc. 07-2587 Filed 5-24-07; 8:45 am] ""","""Dominican Republic—Central America—United States Free Trade Agreement ""","""rule""",229604d5-01b2-46c2-9b59-f81c84693336,Fedreg Basic,,,f
Agreement,nternational agreemen,"""DEPARTMENT OF HOMELAND SECURITY ""","""[FR Doc. 07-2587 Filed 5-24-07; 8:45 am] ""","""Dominican Republic—Central America—United States Free Trade Agreement ""","""rule""",229604d5-01b2-46c2-9b59-f81c84693336,Fedreg Basic,,,f
Agreement,international agreement,"""DEPARTMENT OF HOMELAND SECURITY ""","""[FR Doc. 07-2587 Filed 5-24-07; 8:45 am] ""","""Dominican Republic—Central America—United States Free Trade Agreement ""","""rule""",229604d5-01b2-46c2-9b59-f81c84693336,Fedreg Basic,,,f
Foreing Policy,foreign affairs function,"""NATIONAL SCIENCE FOUNDATION""","""[FR Doc. 2019-08024 Filed 4-22-19; 8:45 am]""","""Conservation of Antarctic Animals and Plants""","""rule""",ead6d915-5e22-4512-a532-bfa65dcaaa93,Fedreg Basic,,,f
Softlaw,international organizations,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2018-06985 Filed 4-4-18; 8:45 am]""","""Reclassification of Targets for the Production of Tritium and Related Development and Production Technology Initially Classified Under the 0Y521 Series""","""rule""",3fb9180d-12d6-4dd4-83c9-b6ebef404072,Fedreg Basic,,,f
Treaty,Chemical Weapons Convention,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2018-06985 Filed 4-4-18; 8:45 am]""","""Reclassification of Targets for the Production of Tritium and Related Development and Production Technology Initially Classified Under the 0Y521 Series""","""rule""",3fb9180d-12d6-4dd4-83c9-b6ebef404072,Fedreg Basic,,,f
Foreing Policy,foreign governments,"""DEPARTMENT OF DEFENSE ""","""[FR Doc. E7-23655 Filed 12-6-07; 8:45 am] ""","""Defense Federal Acquisition Regulation Supplement; Patent Rights-Ownership by the Contractor (DFARS Case 2001-D015) ""","""rule""",316c0228-6ee7-4d0d-91ba-502d7ca67f6b,Fedreg Basic,,,f
Softlaw,international organizations,"""DEPARTMENT OF DEFENSE ""","""[FR Doc. E7-23655 Filed 12-6-07; 8:45 am] ""","""Defense Federal Acquisition Regulation Supplement; Patent Rights-Ownership by the Contractor (DFARS Case 2001-D015) ""","""rule""",316c0228-6ee7-4d0d-91ba-502d7ca67f6b,Fedreg Basic,,,f
Treaty,treaties,"""DEPARTMENT OF DEFENSE ""","""[FR Doc. E7-23655 Filed 12-6-07; 8:45 am] ""","""Defense Federal Acquisition Regulation Supplement; Patent Rights-Ownership by the Contractor (DFARS Case 2001-D015) ""","""rule""",316c0228-6ee7-4d0d-91ba-502d7ca67f6b,Fedreg Basic,,,f
Agreement,international agreement,"""DEPARTMENT OF DEFENSE ""","""[FR Doc. E7-23655 Filed 12-6-07; 8:45 am] ""","""Defense Federal Acquisition Regulation Supplement; Patent Rights-Ownership by the Contractor (DFARS Case 2001-D015) ""","""rule""",316c0228-6ee7-4d0d-91ba-502d7ca67f6b,Fedreg Basic,,,f
Softlaw,international fishery or conservation organization ,"""DEPARTMENT OF COMMERCE""","""[FR Doc. E7-11254 Filed 6-8-07; 8:45 am]""","""Certification of Nations Whose Fishing Vessels Are Engaged in Illegal, Unreported, or Unregulated Fishing or Bycatch of Protected Living Marine Resources""","""prorule""",9c2d2200-f2bb-4da1-b27a-6d713a8be7a6,Fedreg Basic,,,f
Agreement,international agreement,"""DEPARTMENT OF COMMERCE""","""[FR Doc. E7-11254 Filed 6-8-07; 8:45 am]""","""Certification of Nations Whose Fishing Vessels Are Engaged in Illegal, Unreported, or Unregulated Fishing or Bycatch of Protected Living Marine Resources""","""prorule""",9c2d2200-f2bb-4da1-b27a-6d713a8be7a6,Fedreg Basic,,,f
Foreing Policy,steps taken by the Secretary at the international level to adopt international measures ,"""DEPARTMENT OF COMMERCE""","""[FR Doc. E7-11254 Filed 6-8-07; 8:45 am]""","""Certification of Nations Whose Fishing Vessels Are Engaged in Illegal, Unreported, or Unregulated Fishing or Bycatch of Protected Living Marine Resources""","""prorule""",9c2d2200-f2bb-4da1-b27a-6d713a8be7a6,Fedreg Basic,,,f
Softlaw,civil intergovernmental organizations,"""DEPARTMENT OF COMMERCE""","""[FR Doc. 2017-23712 Filed 10-31-17; 8:45 am]""","""Clarifications to the Export Administration Regulations for the Use of License Exceptions""","""rule""",237134b9-8d59-4d8a-abe0-5d7f3698ac18,Fedreg Basic,,,f
Softlaw,"European Space Agency (ESA),","""DEPARTMENT OF COMMERCE""","""[FR Doc. 2017-23712 Filed 10-31-17; 8:45 am]""","""Clarifications to the Export Administration Regulations for the Use of License Exceptions""","""rule""",237134b9-8d59-4d8a-abe0-5d7f3698ac18,Fedreg Basic,,,f
Softlaw," International Agreement Information means information DHS receives pursuant to an information sharing agreement or arrangement, with a foreign government, an international organization of governments or any element thereof,","""DEPARTMENT OF HOMELAND SECURITY""","""[FR Doc. 2017-00758 Filed 1-18-17; 8:45 am]""","""Homeland Security Acquisition Regulation (HSAR); Safeguarding of Controlled Unclassified Information (HSAR Case 2015-001)""","""prorule""",864dc593-0e4a-4690-9089-ad7cb101b0b5,Fedreg Basic,,,f
Softlaw,international fishery management organization,"""DEPARTMENT OF COMMERCE""","""[FR Doc. E7-11254 Filed 6-8-07; 8:45 am]""","""Certification of Nations Whose Fishing Vessels Are Engaged in Illegal, Unreported, or Unregulated Fishing or Bycatch of Protected Living Marine Resources""","""prorule""",f6e6376a-9fb8-4401-bd0c-8af4179ddb37,Fedreg Basic,,,f
Agreement,bilateral aviation agreements with numerous foreign countries for the acceptance of aeronautical products for export and import,"""DEPARTMENT OF TRANSPORTATION""","""[FR Doc. 2019-02634 Filed 2-21-19; 8:45 am]""","""Foreign Civil Aviation Authority Certifying Statements""","""prorule""",bc5fe921-26ba-4ae2-9402-725fbf959493,Fedreg Basic,,,f
Agreement,binding agreemen,"""DEPARTMENT OF THE INTERIOR """,""" [FR Doc. E7-19690 Filed 10-5-07; 8:45 am] ""","""Endangered and Threatened Wildlife and Plants; 90-Day Finding on a Petition to List the Black-Footed Albatross (Phoebastria nigripes) as Threatened or Endangered ""","""prorule""",7bc9e400-52cd-4c62-88a5-9eb4b39203d4,Fedreg Basic,,,f
CIL,international law,"""DEPARTMENT OF THE INTERIOR """,""" [FR Doc. E7-19690 Filed 10-5-07; 8:45 am] ""","""Endangered and Threatened Wildlife and Plants; 90-Day Finding on a Petition to List the Black-Footed Albatross (Phoebastria nigripes) as Threatened or Endangered ""","""prorule""",7bc9e400-52cd-4c62-88a5-9eb4b39203d4,Fedreg Basic,,,f
Treaty,INF Treaty,"""DEPARTMENT OF COMMERCE""","""2017-27388""","""Addition of Certain Entities to the Entity List""","""rule""",2ed321c7-b9ed-4104-ba42-d7968060c44e,December-2017,f,t,t
Treaty,Intermediate-Range Nuclear Forces Treaty,"""DEPARTMENT OF COMMERCE""","""2017-27388""","""Addition of Certain Entities to the Entity List""","""rule""",2ed321c7-b9ed-4104-ba42-d7968060c44e,December-2017,f,t,t
Treaty,Intermediate-Range Nuclear Forces Treaty,"""DEPARTMENT OF COMMERCE""","""2017-27388""","""Addition of Certain Entities to the Entity List""","""rule""",9e7b44a1-e9d4-443c-b49b-7ef9c78f59bb,December-2017,,,f
Treaty, international treaty,"""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",8e3cd1f7-362f-41f0-a523-21e8823f021a,December-2017,,,f
Treaty,convention,"""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",8e3cd1f7-362f-41f0-a523-21e8823f021a,December-2017,,,f
Treaty,protocol,"""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",8e3cd1f7-362f-41f0-a523-21e8823f021a,December-2017,,,f
Treaty,The Nice Agreement,"""DEPARTMENT OF COMMERCE""","""2017-25880""","""International Trademark Classification Changes""","""rule""",e738bb76-a7f3-46b4-8450-1f11789983d3,December-2017,,,f
Agreement,EASA,"""DEPARTMENT OF TRANSPORTATION""","""2017-26039""","""Airworthiness Directives; Airbus Helicopters Deutschland GmbH Helicopters""","""prorule""",dcaea7ab-1613-41ca-bd06-5a061cd295df,December-2017,,,f
Agreement,EASA,"""DEPARTMENT OF TRANSPORTATION""","""2017-27263""","""Airworthiness Directives; Agusta S.p.A. Helicopters""","""rule""",78f19d8f-e8b0-4f4d-a148-0ef936d324ca,December-2017,f,t,t
statute,Section 40105(b)(1)(A) requires the Administrator to exercise his authority consistently with the obligations of the U.S. Government under international agreements.,"""DEPARTMENT OF TRANSPORTATION""","""2017-26847""","""Extension of the Prohibition Against Certain Flights in the Territory and Airspace of Somalia""","""rule""",83c09554-6978-48af-b20d-deda65b1e4d5,December-2017,,,f
statute,CSA,"""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",8e3cd1f7-362f-41f0-a523-21e8823f021a,December-2017,,,f
statute,U.S.C. 811(d)(1),"""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",8e3cd1f7-362f-41f0-a523-21e8823f021a,December-2017,,,f
Treaty,"international treaty, convention, or protocol","""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",8e3cd1f7-362f-41f0-a523-21e8823f021a,December-2017,,,f
statute,"For cases where the proposed country of import and recovery or disposal operations are not covered under an international agreement to which both the United States and the country of import are parties, EPA will coordinate with the Department of State to provide the complete notification to country of import and any countries of transit.","""ENVIRONMENTAL PROTECTION AGENCY""","""2017-27525""","""Confidentiality Determinations for Hazardous Waste Export and Import Documents""","""rule""",2e49d011-d4f4-42c0-8c84-c232437050bf,December-2017,t,f,t
Treaty,"pursuant to such international treaty, convention, or protocol","""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",8e3cd1f7-362f-41f0-a523-21e8823f021a,December-2017,,,f
statute,21 U.S.C. 811(d)(1),"""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",8e3cd1f7-362f-41f0-a523-21e8823f021a,December-2017,,,f
Treaty,C was entitled to a reduced rate of withholding in 2020 on U.S. source dividend income of 10 percent pursuant to a treaty,"""DEPARTMENT OF THE TREASURY""","""2017-27071""","""Centralized Partnership Audit Regime: Rules for Election Under Sections 6226 and 6227, Including Rules for Tiered Partnership Structures, and Administrative and Procedural Provisions""","""prorule""",b6fe09a4-fcef-4611-9954-b3a90efb2c6a,December-2017,,,f
statute,§ 301.6226-2(h)(3)(ii),"""DEPARTMENT OF THE TREASURY""","""2017-27071""","""Centralized Partnership Audit Regime: Rules for Election Under Sections 6226 and 6227, Including Rules for Tiered Partnership Structures, and Administrative and Procedural Provisions""","""prorule""",b6fe09a4-fcef-4611-9954-b3a90efb2c6a,December-2017,,,f
statute,CSA,"""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",237a49d4-8442-45d7-90be-ba404d8ce270,December-2017,f,t,t
statute,21 U.S.C. 811(d)(1),"""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",237a49d4-8442-45d7-90be-ba404d8ce270,December-2017,f,t,t
Treaty," international treaty, convention, or protocol","""DEPARTMENT OF JUSTICE""","""2017-26853""","""Schedules of Controlled Substances: Placement of MT-45 Into Schedule I""","""rule""",237a49d4-8442-45d7-90be-ba404d8ce270,December-2017,t,f,t
statute,§§ 1.1441-1(b)(1) and 1.1441-5(b)(2)(i)(A),"""DEPARTMENT OF THE TREASURY""","""2017-27071""","""Centralized Partnership Audit Regime: Rules for Election Under Sections 6226 and 6227, Including Rules for Tiered Partnership Structures, and Administrative and Procedural Provisions""","""prorule""",939bd3e4-d8f5-4d36-b59d-160c03077c84,December-2017,f,t,t
