example_id,start,end,tag,value,overlap
0994fb5a-b56c-4e4f-80b9-5d75f6aadcdc,371,434,Softlaw,harmonize the U.S. regulations with the international standards,
0994fb5a-b56c-4e4f-80b9-5d75f6aadcdc,509,513,Treaty,ICAO,f
09a824cb-2684-4a35-b10e-cd05a7cf2b16,509,596,Treaty,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),
09c0e6a8-aa7f-4762-8f87-5954ea1a07d8,34,131,Agreement,national plant protection organization (NPPO) of Spain must provide a bilateral workplan to APHIS,
0a02db8e-09f9-41ff-b92a-976617600cb0,0,209,Softlaw,"Section 1010.660(b)(1) and (2) of this proposed rule would prohibit covered financial institutions from opening or maintaining in the United States a correspondent account for, or on behalf of, Bank of Dandong",
0a02db8e-09f9-41ff-b92a-976617600cb0,39,52,Foreing Policy,proposed rule,f
0a02db8e-09f9-41ff-b92a-976617600cb0,59,209,Softlaw,"prohibit covered financial institutions from opening or maintaining in the United States a correspondent account for, or on behalf of, Bank of Dandong",f
0a02db8e-09f9-41ff-b92a-976617600cb0,211,448,Softlaw,It would also require covered financial institutions to take reasonable steps to not process a transaction for the correspondent account of a foreign banking institution in the United States if such a transaction involves Bank of Dandong,f
0a458db1-41dc-4e68-95e5-6065292f74c2,145,200,Agreement,bilateral agreement with this State of Design Authority,
0a9066fb-8ccf-43a3-95c5-9188859537e0,129,199,Agreement,Pursuant to our bilateral agreement with the State of Design Authority,
0affe1b7-1cb9-4b6a-b414-a6fcd90e3372,35,56,statute,fifth special measure,
0b1327f1-3aac-46c2-81ef-857b4112d132,0,120,Softlaw,"In making its tolerance decisions, EPA seeks to harmonize U.S. tolerances with international standards whenever possible",
0b1327f1-3aac-46c2-81ef-857b4112d132,193,351,statute,"EPA considers the international maximum residue limits (MRLs) established by the Codex Alimentarius Commission (Codex), as required by FFDCA section 408(b)(4)",f
0b1327f1-3aac-46c2-81ef-857b4112d132,274,303,Softlaw,Codex Alimentarius Commission,f
0b1327f1-3aac-46c2-81ef-857b4112d132,328,351,statute,FFDCA section 408(b)(4),f
0b1327f1-3aac-46c2-81ef-857b4112d132,353,627,Treaty,"The Codex Alimentarius is a joint United Nations Food and Agriculture Organization/World Health Organization food standards program, and it is recognized as an international food safety standards-setting organization in trade agreements to which the United States is a party",f
0b1327f1-3aac-46c2-81ef-857b4112d132,629,800,Treaty,"EPA may establish a tolerance that is different from a Codex MRL; however, FFDCA section 408(b)(4) requires that EPA explain the reasons for departing from the Codex level",f
0d1874b8-f895-475a-9410-cd6775aec3dc,168,191,Softlaw,foreign employer filing,
0d1874b8-f895-475a-9410-cd6775aec3dc,271,275,Foreing Policy,rule,f
0d77f160-e6b3-484b-bf6f-eed049113455,592,633,Agreement,any relevant international agreement area,
0e2bfac4-ff5a-4a01-a542-a0cbfae0f806,178,204,statute,Freedom of Information Act,
0e2bfac4-ff5a-4a01-a542-a0cbfae0f806,206,217,statute,Privacy Act,f
0e2bfac4-ff5a-4a01-a542-a0cbfae0f806,267,296,Foreing Policy,national security information,f
0e53b3b5-c0e4-48f3-9e96-5a8f07f38b88,4,31,statute,Trade Agreement Act of 1979,
0e53b3b5-c0e4-48f3-9e96-5a8f07f38b88,325,348,Softlaw,international standards,f
0ea85fb0-7ba4-48f0-8e58-ead05b59ae7d,717,740,Foreing Policy,international travelers,
0ee15519-66b8-406d-8af3-98ed2da50c99,54,94,Foreing Policy,export control or national security laws,
0f1a7147-8560-4e68-9609-0f92bc8df141,188,207,Agreement,bilateral agreement,
0f3f7142-c100-472f-abe4-7b8c0e601ab0,260,318,Foreing Policy,the Exchange Visitor Program is a foreign affairs function,
0ff8d015-c8e1-4dd7-9aaf-1e010bb8e014,0,12,statute,Section 1401,
0ff8d015-c8e1-4dd7-9aaf-1e010bb8e014,13,135,Softlaw,provides sui generis protection running parallel to any copyright protection afforded to foreign Pre-1972 Sound Recordings,f
101e0902-f471-4d7b-80da-6dd7edefdf6a,0,191,Foreing Policy,"In making its tolerance decisions, EPA seeks to harmonize U.S. tolerances with international standards whenever possible, consistent with U.S. food safety standards and agricultural practices",
101e0902-f471-4d7b-80da-6dd7edefdf6a,193,311,Softlaw,EPA considers the international maximum residue limits (MRLs) established by the Codex Alimentarius Commission (Codex),f
101e0902-f471-4d7b-80da-6dd7edefdf6a,704,800,statute,FFDCA section 408(b)(4) requires that EPA explain the reasons for departing from the Codex level,f
11a80fcd-b62a-4505-89ae-97159526be6f,241,266,Foreing Policy,national security reasons,
12c8a76d-c2aa-42f1-9a65-5f38100157ac,684,715,Foreing Policy,international mail and services,
130aa368-65a9-4864-949b-ac46d6f85986,9,55,statute,subsection (c)(3) (Accounting for Disclosures),
130aa368-65a9-4864-949b-ac46d6f85986,341,486,Foreing Policy,Disclosure of the accounting would therefore present a serious impediment to law enforcement efforts and/or efforts to preserve national security,f
1385d1ef-a255-45c1-8703-ae7c003e76c8,0,191,Foreing Policy,"In making its tolerance decisions, EPA seeks to harmonize U.S. tolerances with international standards whenever possible, consistent with U.S. food safety standards and agricultural practices",
1385d1ef-a255-45c1-8703-ae7c003e76c8,193,311,Softlaw,EPA considers the international maximum residue limits (MRLs) established by the Codex Alimentarius Commission (Codex),f
1385d1ef-a255-45c1-8703-ae7c003e76c8,629,800,statute,"EPA may establish a tolerance that is different from a Codex MRL; however, FFDCA section 408(b)(4) requires that EPA explain the reasons for departing from the Codex level",f
13c65ede-4e34-4bad-a5b3-52163bc05357,30,37,statute,the Act,
13c65ede-4e34-4bad-a5b3-52163bc05357,72,97,Agreement,international agreements ,f
13c65ede-4e34-4bad-a5b3-52163bc05357,129,139,Treaty,Convention,f
13cbc756-567d-4dfa-8776-9149936657ca,582,603,Agreement,international network,
151522db-3e13-4db4-a18b-217737bd409d,0,37,Treaty,The Migratory Bird Treaty Act of 1918,
153b57ec-6b69-4fd0-b7f0-9d1548123814,9,32,Treaty,treaties or conventions,
153b57ec-6b69-4fd0-b7f0-9d1548123814,21,32,Treaty,conventions,f
1548e099-3a9a-4edb-977b-bacbec116bea,6,32,statute,section 4(b)(2) of the Act,
1548e099-3a9a-4edb-977b-bacbec116bea,41,145,Foreing Policy,"exclude an area from designated critical habitat based on economic impacts, impacts on national security",f
1562723e-674f-494e-a4c8-53a70ca474e2,141,200,Agreement,our bilateral agreement with this State of Design Authority,
1634f561-a70c-4125-91a0-647bd2f1a15a,7,26,Foreing Policy,part 107 rulemaking,
1634f561-a70c-4125-91a0-647bd2f1a15a,72,89,Foreing Policy,national security,f
1634f561-a70c-4125-91a0-647bd2f1a15a,650,742,Softlaw,the FAA anticipates there will be a need for additional airspace coordination and management,f
167446ec-a56c-4f7d-8ca8-60667c26d0a0,64,72,statute,§ 107.36,
167446ec-a56c-4f7d-8ca8-60667c26d0a0,188,205,Foreing Policy,national security,f
16af2ace-f366-413b-817e-00f416e9790e,486,536,Treaty,harmonizes the U.S. regulations with the standards,
16af2ace-f366-413b-817e-00f416e9790e,544,585,Treaty,International Civil Aviation Organization,f
16c9fca5-7865-4b63-97d1-72d96d82fff9,30,55,Softlaw,widely shared information,
16c9fca5-7865-4b63-97d1-72d96d82fff9,81,106,statute,Moratorium Protection Act,f
16c9fca5-7865-4b63-97d1-72d96d82fff9,310,374,Softlaw,provided information to many countries during bilateral meetings,f
16ea2a38-13a5-47ef-91e5-f0fd14f75f44,387,404,Treaty,income tax treaty,
178fb0ee-cd45-4720-9fa2-37afbde11789,443,464,statute,Trade Agreements Act ,
178fb0ee-cd45-4720-9fa2-37afbde11789,654,772,Softlaw,"requires agencies to consider international standards and, where appropriate, that they be the basis of U.S. standards",f
17d0e9b5-0e01-4bfa-b67b-f0910718c4f5,16,98,Foreing Policy,fish or shellfish are or could be taken and sold in interstate or foreign commerce,
17e91c46-3f4a-43b8-86c1-1360ad5ba894,341,483,Foreing Policy,Disclosure of the accounting would therefore present a serious impediment to law enforcement efforts and efforts to preserve national security,
1805717a-f797-49db-bdd1-31895f77b08d,494,556,statute,section 605(b) of the Regulatory Flexibility Act (5 U.S.C. 601,
1805717a-f797-49db-bdd1-31895f77b08d,737,764,Foreing Policy,national security interests,f
180abe25-824a-4897-afc0-954a5da40ce1,0,120,Softlaw,"In making its tolerance decisions, EPA seeks to harmonize U.S. tolerances with international standards whenever possible",
180abe25-824a-4897-afc0-954a5da40ce1,193,351,statute,"EPA considers the international maximum residue limits (MRLs) established by the Codex Alimentarius Commission (Codex), as required by FFDCA section 408(b)(4)",f
180abe25-824a-4897-afc0-954a5da40ce1,274,303,Softlaw,Codex Alimentarius Commission,f
180abe25-824a-4897-afc0-954a5da40ce1,328,351,statute,FFDCA section 408(b)(4),f
180abe25-824a-4897-afc0-954a5da40ce1,353,627,Treaty,"The Codex Alimentarius is a joint United Nations Food and Agriculture Organization/World Health Organization food standards program, and it is recognized as an international food safety standards-setting organization in trade agreements to which the United States is a party",f
180abe25-824a-4897-afc0-954a5da40ce1,629,800,Treaty,"EPA may establish a tolerance that is different from a Codex MRL; however, FFDCA section 408(b)(4) requires that EPA explain the reasons for departing from the Codex level",f
194ad31c-cfbf-40ec-bf0d-17a3c7aa07e9,266,293,Softlaw,international organizations,
199e1fa0-5806-4d25-9b3d-80954c3fb9ac,129,199,Agreement,Pursuant to our bilateral agreement with the State of Design Authority,
19ac2db7-57a1-4929-9bf5-aaa61374de01,205,238,Agreement,bilateral airworthiness agreement,
1a1e8521-1a6a-431d-a387-ac00e03a9a99,49,105,Softlaw,International Swaps and Derivatives Association (“ISDA”),
1a1e8521-1a6a-431d-a387-ac00e03a9a99,439,459,statute,§§ 23.502 and 23.504,f
1a3ce75f-5629-4a5e-829c-01cd0e544ec1,97,144,Softlaw,international coordination of regulatory reform,
1abea3d9-5dac-4935-85a9-da3e5c44abd7,120,153,Foreing Policy,relating to the national security,
1ad7f2dd-a20a-4fd8-8ad2-118679925749,626,652,Foreing Policy,national security benefits,
1b054aa1-aac9-4dc9-8c12-ac5ffb5dedbe,260,264,statute,FOIA,
1b054aa1-aac9-4dc9-8c12-ac5ffb5dedbe,530,565,Foreing Policy,need to safeguard national security,f
1b34382c-afd7-4e2a-95c4-698ebadbc44a,2,29,Softlaw,memorandum of understanding,
1b560cb5-8f75-43a0-bf50-02848b536aca,423,565,Foreing Policy,there may be some additional burden in conducting due diligence on foreign correspondent account holders and notifying them of the prohibition,
1b560cb5-8f75-43a0-bf50-02848b536aca,589,879,Foreing Policy,"ny such burden will likely be minimal, and certainly not undue, given the national security threat posed by Bank of Dandong's facilitation of activity for front companies associated with North Korea, some of which are involved in activities that support the proliferation of WMD or missiles",f
1b8ba43f-571f-4c7e-ac33-f39c2df85a0e,26,100,Foreing Policy,used by interstate or foreign travelers for recreational or other purposes,
1ba436b9-3532-4773-820a-260cb9b13bb7,268,305,Foreing Policy,affect interstate or foreign commerce,
1bdeaf13-c2a7-404c-b2b3-bc68e64cb7b2,519,536,Treaty,income tax treaty,
1bdeaf13-c2a7-404c-b2b3-bc68e64cb7b2,1341,1358,Treaty,U.S.—Z tax treaty,f
1bdeaf13-c2a7-404c-b2b3-bc68e64cb7b2,1430,1447,Treaty,U.S.—Z tax treaty,f
1bdeaf13-c2a7-404c-b2b3-bc68e64cb7b2,1934,1940,Treaty,treaty,f
1c2f2722-f9d2-45eb-b239-14e8230ad663,4,36,statute,Section 6004 of the Spectrum Act,
1c2f2722-f9d2-45eb-b239-14e8230ad663,37,151,Foreing Policy,"prohibits “a person who has been, for reasons of national security, barred by any agency of the Federal Government",f
1c2f2722-f9d2-45eb-b239-14e8230ad663,769,898,Foreing Policy,define “reasons of national security” to mean matters relating to the national defense and foreign relations of the United States,f
1cefc1f3-2065-427a-b985-7a93fa708288,4,212,Softlaw,A covered financial institution shall apply special due diligence to its foreign correspondent accounts that is reasonably designed to guard against their use to process transactions involving Bank of Dandong,
1dabc3e6-eceb-4b1a-b951-03077e14502b,331,380,Foreing Policy,interests of foreign policy and national security,
1dabc3e6-eceb-4b1a-b951-03077e14502b,393,434,statute,section 38 of the Arms Export Control Act,f
1dea4cc2-58de-4629-9fc9-a84134e4098d,26,71,Softlaw,international fishery management organization,
1ded8768-6d9d-4cc7-87c5-a8fc5a99196c,462,482,statute,Trade Agreements Act,
1ded8768-6d9d-4cc7-87c5-a8fc5a99196c,695,718,Softlaw,international standards,f
1dfda7c6-71de-42c3-9a73-b35e2a2ee3da,204,245,Softlaw,St. Lawrence Seaway Regulations and Rules,
1e549aa4-4e91-4c84-816d-004f69a990b9,326,618,Treaty,"The Secretary of Commerce, in cooperation with the Secretaries of Treasury, Homeland Security, and State, will notify such nations and will file with the Office of the Federal Register for publication notification of the removal of the import restrictions effective on the date of publication",
1e92f96e-48f8-4971-818a-825a8e565fdf,56,114,statute,"the Migratory Bird Treaty Act of 1918, at 16 U.S.C. 712(1)",
1e92f96e-48f8-4971-818a-825a8e565fdf,187,234,Treaty,"treaties with Canada, Mexico, Japan, and Russia",f
1ec5b82e-71cd-462d-9de3-7f635fd5160e,141,146,Treaty,CITES,
1ec5b82e-71cd-462d-9de3-7f635fd5160e,370,449,Treaty,international trade is not a factor influencing the species' status in the wild,f
1edbf13e-55a4-4c38-a15c-d47f0fb21673,212,245,Agreement,bilateral airworthiness agreement,
1ee9a265-7356-409e-a9ce-753d4ceecf78,148,165,Foreing Policy,national security,
1fb9caac-ffba-44dc-93c7-575deb9a32dc,153,187,Agreement,the applicable bilateral agreement,
1fb9caac-ffba-44dc-93c7-575deb9a32dc,189,289,Agreement,"Pursuant to the bilateral agreement, TCCA has kept the FAA informed of the situation described above",f
2024a6f2-b948-4359-a578-baa04e4fde67,69,84,statute,section 1401(c),
2024a6f2-b948-4359-a578-baa04e4fde67,95,195,Softlaw,applies only to foreign sound recordings that have “previously been exploited commercially in the US,f
204b8215-4658-43f4-bac1-9b7ad29b35f1,126,173,Agreement,Pursuant to our bilateral agreement with Canada,
20d3b79f-fa30-44b7-ae5f-4dc5c7a571dd,663,688,Foreing Policy,protect national security,
20fdda02-6fa8-4b22-bc07-8882261b2307,229,316,Treaty,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),
21670ba5-f5a8-4ae7-9b8a-9cc1fd5af7ff,65,70,Treaty,CITES,
217baee8-1263-4ca8-ad6c-82f793c00074,164,183,Agreement,bilateral agreement,
222d3298-2b13-4b14-85c9-2acec857820e,71,96,Agreement,international obligations,
222d3298-2b13-4b14-85c9-2acec857820e,112,125,Treaty,WTO Agreement,f
22747f85-c611-407a-bdac-487301a1e80d,104,155,Agreement,our bilateral agreement with the European Community,
228b15a9-1d61-423a-841c-ae18bae26d44,14,42,Agreement,Uruguay Round Agreements Act,
228b15a9-1d61-423a-841c-ae18bae26d44,76,270,Softlaw,automatically restore U.S. copyright protection to certain foreign works that had been in the public domain in the United States due to lack of copyright protection for Pre-1972 Sound Recordings,f
229604d5-01b2-46c2-9b59-f81c84693336,194,239,Foreing Policy,oreign affairs function of the United States ,
229604d5-01b2-46c2-9b59-f81c84693336,309,332,Agreement,international agreement,f
22996ab7-1bd0-4fd5-9763-b7399ea7588a,130,162,Treaty,international fishery agreements,
22b4b113-bdf9-4ccf-a0e9-9e9af67002d0,5,9,Foreing Policy,rule,
22b4b113-bdf9-4ccf-a0e9-9e9af67002d0,44,148,statute,section 804 of the Small Business Regulatory Enforcement Fairness Act of 1996 (Congressional Review Act),f
22b4b113-bdf9-4ccf-a0e9-9e9af67002d0,398,513,Foreing Policy,ability of the United States-based companies to compete with foreign based companies in domestic and export markets,f
23175160-b6a9-409f-9796-652c1435079b,250,287,Foreing Policy,affect interstate or foreign commerce,
231ee7d1-119c-4544-9927-a7cc37bad59e,429,479,statute,Trade Agreements Act (19 U.S.C. section 2531-2533),
231ee7d1-119c-4544-9927-a7cc37bad59e,677,700,Softlaw,international standards,f
236b44ab-e395-4b13-9179-02e3c0d1edbe,588,667,Foreing Policy,the ability of U.S.-based enterprises to compete with foreign-based enterprises,
237134b9-8d59-4d8a-abe0-5d7f3698ac18,446,483,Softlaw,civil intergovernmental organizations,
237134b9-8d59-4d8a-abe0-5d7f3698ac18,738,766,Softlaw,"European Space Agency (ESA),",f
23756d33-eadc-4101-a3c8-63c1d43951e3,48,102,Softlaw,harmonize U.S. tolerances with international standards,
23756d33-eadc-4101-a3c8-63c1d43951e3,328,333,statute,FFDCA,f
23756d33-eadc-4101-a3c8-63c1d43951e3,387,461,Treaty,United Nations Food and Agriculture Organization/World Health Organization,f
23756d33-eadc-4101-a3c8-63c1d43951e3,573,627,Treaty,trade agreements to which the United States is a party,f
237a49d4-8442-45d7-90be-ba404d8ce270,0,7,statute,The CSA,
237a49d4-8442-45d7-90be-ba404d8ce270,168,187,statute,21 U.S.C. 811(d)(1),f
237a49d4-8442-45d7-90be-ba404d8ce270,212,249,Treaty,pursuant to such international treaty,f
23acd265-83e9-463b-aa31-39b8dd3d4299,212,234,Softlaw,international partners,
23c85b1e-7985-4cca-a3bf-9474718a4f56,225,388,Softlaw,MSM Volume III provides information and interpretations on international conventions and U.S. statutory and regulatory issues relating to marine industry personnel,
23e190d8-2986-4ce4-bb10-73d935fe2d90,498,523,Foreing Policy,national security reasons,
23f05a75-52a2-4a48-b080-79ad57ef1246,215,248,Agreement,bilateral airworthiness agreement,
254945a7-004c-46fd-aeb5-881fddc769bd,449,486,Foreing Policy,efforts to preserve national security,
25893e49-fb70-44b8-906f-1c095e6e2d44,35,114,Treaty,"A foreign organization, recognized by the Internal Revenue Service or by treaty",
25c82060-3f39-4e7b-97bf-0ced3763e1ca,272,276,Agreement,GATT,
2602bdba-9469-4f9e-a334-0a7a4b6a58b9,86,101,Treaty,treaty benefits,
26429138-d0b4-451c-839c-1d3c0003100e,132,312,Softlaw,"The international community has, however, taken a series of steps to address the illicit financial threats emanating from North Korea, for which Bank of Dandong serves as a conduit",
26429138-d0b4-451c-839c-1d3c0003100e,341,374,Treaty,UNSC adopted multiple resolutions,f
26429138-d0b4-451c-839c-1d3c0003100e,551,561,Softlaw,UNSCR 2270,f
26429138-d0b4-451c-839c-1d3c0003100e,627,763,Softlaw,Prohibit North Korean banks from opening branches in their territory or engaging in certain correspondent relationships with these banks,f
26429138-d0b4-451c-839c-1d3c0003100e,768,904,Softlaw,"terminate existing representative offices or subsidiaries, branches, and correspondent accounts with North Korean financial institutions",f
26429138-d0b4-451c-839c-1d3c0003100e,913,1049,Softlaw,"prohibit their financial institutions from opening new representative offices or subsidiaries, branches, or bank accounts in North Korea",f
26429138-d0b4-451c-839c-1d3c0003100e,1065,1075,Treaty,UNSCR 2321,f
26429138-d0b4-451c-839c-1d3c0003100e,1127,1243,Softlaw,"requires nations to close existing representative offices or subsidiaries, branches, or bank accounts in North Korea",f
26935823-0f45-492c-b0fd-e6c884c1d2b5,111,128,Foreing Policy,national security,
269e2c31-5269-4933-8770-d3c0398f84f2,167,184,Foreing Policy,national security,
26d8162c-9d6d-475d-ab36-c43155796ba4,241,266,Foreing Policy,national security reasons,
273a9daf-3102-4f77-b9a1-d21e6d17c014,592,633,Agreement,any relevant international agreement area,
27a5cbf6-7039-4757-ba43-d64aae936b83,5,98,Foreing Policy,From which fish or shellfish are or could be taken and sold in interstate or foreign commerce,
27f4d07f-3305-407f-b7f7-71c165589e6e,68,120,statute,High Seas Driftnet Fishing Moratorium Protection Act,
27f4d07f-3305-407f-b7f7-71c165589e6e,1519,1559,Treaty,World Trade Organization (WTO) Agreement,f
27f800dc-577b-4c52-a079-671c4d7e8756,145,200,Agreement,bilateral agreement with this State of Design Authority,
28851c02-cc89-4873-b7e9-84bb57d8585a,148,239,Treaty,"U.S. commitment to four international conventions (with Canada, Japan, Mexico, and Russia) ",
288d329a-f603-42bb-b17c-a60b836dcb25,30,39,statute,part 1206,
288d329a-f603-42bb-b17c-a60b836dcb25,558,607,Softlaw,a foreign processor will have a seat on the Board,f
28ba8237-3817-4ab1-8647-381944d8392e,231,374,Foreing Policy,foreign worker's employment in the job opportunity will not adversely affect the wages or working conditions of similarly employed U.S. workers,
29010949-dcd9-485b-9c9a-485c152a013e,76,295,Softlaw,A covered financial institution shall take reasonable steps to not process a transaction for the correspondent account of a foreign banking institution in the United States if such a transaction involves Bank of Dandong,
29493052-24ba-478e-8d0a-512e8c1646a0,1336,1350,Foreing Policy,foreign policy,
295fd9ac-0ec7-4de4-bc80-35c933de2c20,1624,1649,Foreing Policy,enhance national security,
295fd9ac-0ec7-4de4-bc80-35c933de2c20,1658,1720,Softlaw,Improving U.S. military interoperability with allied countries,f
29e216ce-6195-4401-90b0-3560c4845dd0,0,26,statute,Section 4(b)(2) of the Act,
29e216ce-6195-4401-90b0-3560c4845dd0,181,208,Foreing Policy,impact on national security,f
2ad55cde-d137-4e6b-b35a-1bb81f17898b,528,545,statute,section 310(b)(4),
2ad55cde-d137-4e6b-b35a-1bb81f17898b,558,686,Foreing Policy,"where appropriate, and advise the Commission of any national security, law enforcement, foreign policy, or trade policy concerns",f
2b0bbbf0-30df-431f-9d03-73c703f80cad,306,388,Softlaw,the Basel Committee on Banking Supervision (BCBS) proposed the Basel III framework,
2b0bbbf0-30df-431f-9d03-73c703f80cad,418,441,Treaty,international standards,f
2b6c7969-13d0-4118-a5c8-7c4d287f24ec,461,635,Softlaw,"For the foreign mango processor seat, nomination of the foreign processor for the frozen mangos seat will be solicited from foreign mango organizations and foreign processors",
2b8833f9-d39b-40f0-9651-a1b938fd4945,64,90,Softlaw,international coordination,
2b975634-feb1-43a6-ad72-f8229f1a4079,338,360,Softlaw,international partners,
2bafd139-aa1b-40b6-94d0-94fad0858ef1,215,307,Foreing Policy,submissions from the Federal entity concerning the potential impact on its national security,
2c0e9cc0-7c00-40d1-843b-cd93ec209d26,0,102,Foreing Policy,This proposed rule would amend regulations of the Department of Commerce's Bureau of Economic Analysis,
2c0e9cc0-7c00-40d1-843b-cd93ec209d26,162,235,Softlaw,"BE-12, Benchmark Survey of Foreign Direct Investment in the United States",f
2c0e9cc0-7c00-40d1-843b-cd93ec209d26,360,385,Foreing Policy,foreign direct investment,f
2c60c7a6-6414-4af0-84dd-3041fd19975c,129,199,Agreement,Pursuant to our bilateral agreement with the State of Design Authority,
2ca5a74e-86d6-4be2-96eb-15a035ed9e1f,635,818,Treaty,"the Treaty on Fisheries between the Governments of Certain Pacific Island States and the Government of the United States of America, also known as the South Pacific Tuna Treaty (SPTT)",
2cab6bd1-b152-4ba5-a3a7-166634339678,13,96,Foreing Policy,could be used by interstate or foreign travelers for recreational or other purposes,
2cb69a08-bfd5-470a-aa49-75ca41b210f2,77,110,Agreement,bilateral airworthiness agreement,
2d31e364-6d0b-414f-a729-fbc30ffea6a0,4,48,statute,"5 U.S.C. 552a(d), (e)(4)(G) and (H), and (f)",
2d31e364-6d0b-414f-a729-fbc30ffea6a0,712,737,Foreing Policy,protect national security,f
2d80d969-db98-434c-8ad9-ab6c6a1634e1,153,221,Foreing Policy,the duration of the national security sensitivity of the information,
2da0b5fa-8a7a-48f3-9aa8-670b27e12e32,60,90,Foreing Policy,international financial system,
2da0b5fa-8a7a-48f3-9aa8-670b27e12e32,180,199,Foreing Policy,foreign individuals,f
2da0b5fa-8a7a-48f3-9aa8-670b27e12e32,403,843,Foreing Policy,"FinCEN does not believe that any condition, additional recordkeeping requirement, or reporting requirement would be an effective measure to safeguard the U.S. financial system. Such measures would not prevent Bank of Dandong from accessing, directly or indirectly, the correspondent accounts of U.S. financial institutions, thus leaving the U.S. financial system vulnerable to processing illicit transfers that pose a national security risk",f
2da0b5fa-8a7a-48f3-9aa8-670b27e12e32,1153,1336,Foreing Policy,a prohibition under the fifth special measure is the only special measure that can adequately protect the U.S. financial system from the illicit finance risks posed by Bank of Dandong,f
2dfe6a58-05ef-47fa-b77c-60d867ee30da,458,478,statute,Trade Agreements Act,
2dfe6a58-05ef-47fa-b77c-60d867ee30da,670,774,Softlaw,"agencies to consider international standards and, where appropriate, they be the basis of U.S. standards",f
2e45971c-b2f4-4fac-8402-1a4e5c7c1410,4,24,statute,Trade Agreements Act,
2e45971c-b2f4-4fac-8402-1a4e5c7c1410,68,96,statute,Uruguay Round Agreements Act,f
2e45971c-b2f4-4fac-8402-1a4e5c7c1410,621,736,Softlaw,"requires consideration of international standards and, where appropriate, that they be the basis for U.S. standards",f
2e49d011-d4f4-42c0-8c84-c232437050bf,4,343,statute,"For cases where the proposed country of import and recovery or disposal operations are not covered under an international agreement to which both the United States and the country of import are parties, EPA will coordinate with the Department of State to provide the complete notification to country of import and any countries of transit.",
2e49d011-d4f4-42c0-8c84-c232437050bf,573,608,statute,paragraphs (b)(1)(i) through (xiii),f
2e5f07e9-9510-4e36-9051-83319089e07e,202,333,Foreing Policy,request the Secretary of State to initiate the amendment of any existing international treaty to which the United States is a party,
2e6e9d7c-121b-4890-838c-3791f2758cf0,6,27,Treaty,the Single Convention,
2ea6adcb-c66e-4ef9-8f74-890d759da1d8,145,199,Agreement,bilateral agreement with the State of Design Authority,
